state,model,value
NM,CHEVROLET EXPRESS,4
NM,GMC ENVOY,12
NM,WAYNE MORGAN PHOTOGRAPHY,2
NM,MAZDA,18
NM,MITSUBISHI MIRAGE,10
NM,FREE EAGLE,2
NM,DODGE RAM CARGO,2
NM,GMC ACADIA,4
NM,JAGUAR S-TYPE,2
NM,BOMMARITO BUICK,6
NM,GOCHIE FORD,4
NM,JAGUAR LAND ROVER BIRMINGHAM,2
NM,DODGE CALIBER,2
NM,AUSTIN BEAD CO.,6
NM,NISSAN MAXIMA,8
NM,SATURN L-SERIES,2
NM,INFINITI,22
NM,TESLA,12
NM,CADILLAC CTS,4
NM,BUICK RENDEZVOUS,6
NM,SCPRSA MERCURY AWARDS,2
NM,VOLKSWAGEN CC,6
NM,TOYOTA SIENNA,2
NM,MITSUBISHI OUTLANDER,8
NM,CHEVORLET,6
NM,AUDI A8,2
NM,AUDI A4,8
NM,SMART CLUB,6
NM,CHEVROLET CAVALIER,8
NM,ROLLS-ROYCE,2
NM,MERCURY MOUNTAINEER,2
NM,KIA SPECTRA,4
NM,SATURN VUE,8
NM,CHEVROLET S-10,4
NM,FORD LTD CROWN VICTORIA,6
NM,VOLVO,34
NM,FORD TRANSIT CONNECT CARGO,2
NM,NISSAN PATHFINDER,2
NM,LINCOLN BREWING CO.,4
NM,TOYOTA MATRIX,2
NM,SATURN ION,2
NM,FORD GALAXIE.,2
NM,SATURN BIRMINGHAM,2
NM,TOYOTA HIGHLANDER,8
NM,MITSUBISHI GALANT,2
NM,BUICK,4
NM,GEO GROUP,6
NM,CHEVROLET,6
NM,FORD FOCUS,2
NM,NISSAN TITAN,8
NM,CADILLAC SEVILLE,6
NM,SMART SHOW,6
NM,FORD EXPEDITION,14
NM,MITSUBISHI,18
NM,KIA OPTIMA,16
NM,BMW,110
NM,MAZDA TRIBUTE,2
NM,HYUNDAI,10
NM,ACURA,2
NM,LEXUS IS,2
NM,SMART RESTAURANT GROUP,74
NM,BUICK LESABRE,4
NM,FORD MUSTANG MACH 1,6
NM,SUSAN SCHEIN CHEVROLET,2
NM,ISUZU AMIGO,6
NM,OLDSMOBILE CUTLASS CIERA,2
NM,JEEP WRANGLER SAHARA,6
NM,HONDA PILOT,8
NM,MERCURY MISSION,2
NM,PONTIAC GRAND AM,2
NM,CHRYSLER 200,14
NM,TESLA VENTURES,2
NM,LEXUS,24
NM,NISSAN FRONTIER,14
NM,BUICK CENTURY,8
NM,FORD,208
NM,NISSAN QUEST,8
NM,MCLAREN,8
NM,SATURN SKY,8
NM,SMART CITY,2
NM,HENNESSY CADILLAC DULUTH,2
NM,FORD KNOX,6
NM,CHEVROLET VENTURE,2
NM,NISSAN MOTOR ACCEPTANCE CORPORATION,6
NM,MERCEDES-BENZ,6
NM,NISSAN ARMADA,2
NM,TOYOTA CAMRY HYBRID,6
NM,TOYOTA SEQUOIA,4
NM,HYUNDAI ELANTRA,8
NM,ACURA MDX,8
NM,HYUNDAI SANTA FE,6
NM,HEARTLAND HONDA,2
NM,FORD EXPLORER SPORT TRAC,12
NM,CHEVROLET TRAILBLAZER,22
NM,TOYOTA,108
NM,CREST INFINITI,2
NM,AMERICAN EAGLE OUTFITTERS,4
NM,CREST HONDA,2
NM,VOLKSWAGEN EOS,2
NM,FORD AEROSTAR,6
NM,ROCA HONDA MINE,2
NM,FORD FLEX,2
NM,PONTIAC G8,2
NM,FORD DETAIL,4
NM,VOLKSWAGEN PASSAT,6
NM,NISSAN XTERRA,28
NM,TOYOTA RAV4,2
NM,REYNOLDS FORD,2
TX,AUSTIN METRO,12
TX,INFINITI FX35,6
TX,CADILLAC TAX,2
TX,FORD CARS,2
TX,DIGI AUSTIN,2
TX,PERMIAN GEO MARKET,2
TX,AUDI,62
TX,CHEVROLET MONTE CARLO,2
TX,CROWLEY KIA,6
TX,HAWKINSON NISSAN,2
TX,TESLA MOTORS,6
TX,AUSTIN FOOD,30
TX,AUDI S4,12
TX,AUSTIN JAVA COMPANY,2
TX,HYUNDAI,38
TX,EAGLE FORD PERMITS,2
TX,LUSH COSMETICS AUSTIN,2
TX,FORD CHINA,2
TX,BMW,50
TX,MERCURY,2
TX,AUSTIN FLOWER COMPANY,6
TX,VOLKSWAGEN,6
TX,RAM VASUDEV,6
TX,FORD,76
TX,HYUNDAI SANTA FE,6
TX,SOUTH AUSTIN,4
TX,HONDA ODYSSEY,6
TX,HUMMER,2
TX,CHEVROLET SILVERADO,12
TX,FORD ESCAPE,2
TX,AUSTIN TORTILLA CO.,12
TX,CHEVROLET TAHOE,6
TX,TIPSYCAEK SMART,6
TX,EAGLE FORD,2
TX,MASERATI,0
TX,TOYOTA OWNERS,6
TX,FORD E-SERIES,2
TX,CHEVROLET MALIBU,6
TX,FORD EXPEDITION,22
TX,STREATER SMITH NISSAN,18
TX,TOYOTA HIGHLANDER,6
TX,SMART WOMEN ENTREPRENEURS,2
TX,LAMBORGHINI,32
TX,MITSUBISHI,18
TX,BUGATTI,2
TX,PORSCHE,6
TX,AUSTIN ENERGY,16
TX,JEEP,20
TX,FIXE AUSTIN,2
TX,FORD FLEX,2
TX,CADILLAC DEVILLE,8
TX,INFINITI,22
TX,CHRYSLER,14
TX,BENTLEY,24
TX,PREMIER HONDA,2
TX,SMART RESTAURANT GROUP,82
TX,MAZDA,10
TX,CHEVROLET,8
TX,FERRARI,0
TX,KIA,34
TX,DODGE,18
TX,CADILLAC BAR SA,2
TX,MINI ASIAN INSPIRED CAKES,6
TX,FORD EXPLORER SPORT TRAC,6
TX,SATURN S-SERIES,4
TX,LOTUS,2
TX,MAZDA TRIBUTE,6
TX,AUSTIN BEER GARDEN BREWING COMPANY,4
TX,DODGE JOURNEY,6
